BJ	634	12/07/1997	31.90	65.7426	80.9201
BJ	634	20/10/1998	33.10	65.7426	80.9201
BJ	636	12/07/1997	33.40	82.2754	81.0048
BJ	636	20/10/1998	30.20	82.2754	81.0048
BJ	637	12/07/1997	25.00	91.4341	77.8993
BJ	637	20/10/1998	25.00	91.4341	77.8993
BJ	638	12/07/1997	33.60	96.0577	88.7846
BJ	638	20/10/1998	31.90	96.0577	88.7846
BJ	639	12/07/1997	27.60	107.6773	84.8919
BJ	639	20/10/1998	25.20	107.6773	84.8919
BJ	640	12/07/1997	30.20	117.8110	88.0472
BJ	640	20/10/1998	29.10	117.8110	88.0472
BJ	642	12/07/1997	28.70	132.2563	90.8569
BJ	642	20/10/1998	29.10	132.2563	90.8569
BJ	643	12/07/1997	34.40	122.6743	92.8656
BJ	643	20/10/1998	33.50	122.6743	92.8656
BJ	644	12/07/1997	30.90	128.6928	95.9688
BJ	644	20/10/1998	30.10	128.6928	95.9688
BJ	645	12/07/1997	35.70	131.7654	101.3824
BJ	645	20/10/1998	34.40	131.7654	101.3824
BJ	646	13/07/1997	31.90	151.2540	107.8216
BJ	646	17/10/1998	33.20	151.2540	107.8216
BJ	647	13/07/1997	37.80	136.7469	104.5809
BJ	647	20/10/1998	36.80	136.7469	104.5809
BJ	649	13/07/1997	41.60	120.8691	115.2804
BJ	649	17/09/1997	41.00	120.8691	115.2804
BJ	649	17/10/1998	41.20	120.8691	115.2804
BJ	651	13/07/1997	37.50	127.0549	120.4584
BJ	651	17/09/1997	35.40	127.0549	120.4584
BJ	654	13/07/1997	32.80	130.0719	124.4834
BJ	654	17/09/1997	32.00	130.0719	124.4834
BJ	654	16/10/1998	31.70	130.0719	124.4834
BJ	656	13/07/1997	31.00	146.2249	127.2974
BJ	656	19/09/1997	30.00	146.2249	127.2974
BJ	656	16/10/1998	30.70	146.2249	127.2974
BJ	785	17/09/1997	26.00	173.2644	123.6474
BJ	785	25/09/1998	26.20	173.2644	123.6474
BJ	799	18/09/1997	45.70	72.6589	161.4238
BJ	799	16/10/1998	44.70	72.6589	161.4238
BJ	800	18/09/1997	31.70	90.8359	157.8405
BJ	800	16/10/1998	30.20	90.8359	157.8405
BJ	802	19/09/1997	34.50	102.7070	138.3191
BJ	802	16/10/1998	33.80	102.7070	138.3191
BJ	1013	12/08/1998	31.50	201.5769	137.8414
BJ	1013	21/10/1998	31.60	201.5769	137.8414
BJ	1138	05/06/1998	26.20	215.5767	136.9205
BJ	1138	16/08/1998	26.00	215.5767	136.9205
BJ	1138	02/09/1998	25.70	215.5767	136.9205
BJ	1138	12/10/1998	26.20	215.5767	136.9205
BJ	1138	24/10/1998	26.00	215.5767	136.9205
BL	49	24/09/1994	8.98	151.8443	177.0438
BL	49	07/08/1998	15.50	151.8443	177.0438
BL	57	05/09/1997	30.00	108.7560	155.8068
