id,Staðarlýsing,Breidd,Lengd
605,Ísafjörður,66.0622,-23.1753
606,Flateyrarvegamót,66.0151,-23.4030
607,Flateyri,66.0528,-23.5169
608,Lambadalur,65.8578,-23.2954
609,Þingeyri,65.8767,-23.4878
610,Hrafnseyrarheiði,65.8068,-23.4344
611,Auðkúluvegamót,65.7600,-23.4695
612,Tjaldanes,65.7583,-23.5475
613,Dynjandisheiði,65.7094,-23.2051
614,Bíldudalur (vegamót),65.6338,-23.2461
615,Sunnnes,65.6430,-23.4715
616,Selárd.flugvöllur,65.7790,-23.9977
617,Bíldudalur,65.6761,-23.6143
618,Tunguheiði,65.6440,-23.7116
619,Tálknafjörður,65.6241,-23.8157
620,Botnaheiði,65.5810,-23.8557
621,Patreksfjörður,65.5895,-23.9745
622,Látraheiði,65.5584,-24.2477
623,Látravík,65.5073,-24.5140
624,Hvallátur,65.5251,-24.4627
625,Keflavíkurbjarg,65.5009,-24.2857
626,Patreksfjarðarflugvöllur (vegamót),65.5534,-23.9738
627,Saurbær (á smáhæð),65.4753,-23.9893
628,Saurbær (á sléttu),65.4762,-23.9926
629,Stórhæð,65.4938,-23.9614
630,Kleifaheiði,65.5132,-23.7081
631,Skjaldvararfoss,65.4827,-23.4774
632,Hamar,65.5096,-23.3620
633,Rauðsdalur,65.4871,-23.2618
634,Vatnsdalsvatn,65.5893,-23.1260
635,Kjálkafjörður,65.5931,-22.9609
636,Skálmarnes (vegamót),65.6079,-22.7704
637,Háheiðin,65.6622,-22.5897
638,Skálanes,65.5069,-22.4578
639,Hjallaháls,65.5710,-22.2097
640,Mýrartunga,65.5174,-21.9875
641,Tröllaheiðarvegamót,65.4672,-21.9143
642,Steinadalsheiðarvegamót,65.4582,-21.6802
643,Gilsfjarðarbrú,65.4248,-21.8935
644,Fremri Brekka,65.3578,-21.7824
645,Laugar,65.2443,-21.7690
646,Jörfi,65.0565,-21.4732
647,Fáskrúð (við rétt),65.1676,-21.7093
648,Búðardalur (hafnarbakki),65.1107,-21.7743
649,Ólafsvíkurvegamót,65.0220,-22.2139
650,Rauðamelsheiði,64.9599,-22.2373
651,Oddstaðaá,64.9074,-22.2189
652,Krossfjall,64.9324,-22.2422
653,Heggstaðir,64.8700,-22.1863
654,Vegamót 54/55,64.8253,-22.2745
655,Barnaborgarhraun,64.7617,-22.2619
656,Hítardalsvegamót,64.6882,-22.0949
657,Hafnarskógur,64.4994,-21.9347
658,"Hveragerði, Eden",63.9956,-21.1839
659,Ingólfshvoll,63.9627,-21.1282
660,Undir Ingólfsfjalli,63.9530,-21.0334
661,"Selfoss, slökkvistöð",63.9370,-20.9864
662,Sauðhúsvöllur,63.5829,-19.9287
663,Heimaland,63.6000,-19.9813
664,Steinar,63.5437,-19.6984
665,Stóraheiði (vegamót),63.4521,-19.0393
666,Vík (Skáli),63.4182,-19.0019
667,Kirkjubæjarklaustur (RARIK),63.7970,-18.0304
668,Skeiðarársandur,63.9492,-17.2228
669,Jökulsel (bílastæði),64.2558,-15.8630
670,Jökulsel (120m austar),64.2555,-15.8603
671,1.8km SA 670,64.2525,-15.8242
672,4.3km SA 670,64.2345,-15.7856
673,9.54km 285gr til 670,64.2336,-15.6703
674,Hrollaugsstaðir,64.1824,-15.7909
675,Lambsstaðir (vegamót),64.2843,-15.4661
676,Höfn-Hafnarnes,64.2797,-15.2034
677,Stokksnes,64.2393,-14.9791
678,Hvalnes,64.4024,-14.5412
679,Geithellur,64.5542,-14.6120
680,Djúpivogur,64.6539,-14.2983
681,Axarvegamót,64.7961,-14.5227
682,Berunes,64.6966,-14.2640
683,Fell í Breiðdal,64.8086,-14.0813
684,Stöðvarfjarðarbotn,64.8390,-13.9575
685,Stöðvarfjörður,64.8331,-13.8752
686,Tunguvegur-Fáskrúðsfjörður,64.9310,-14.0665
687,Vattarnes,64.9279,-13.6926
688,"Reyðarfjörður, á",65.0262,-14.2572
689,Fagridalur,65.1332,-14.3353
690,Mjóafjarðarvegamót,65.1925,-14.3425
691,3km suðvestan Egilsstaða,65.2483,-14.4365
692,3.04km sunnan Eiða,65.3461,-14.3528
693,Raufarhöfn,66.4618,-15.9510
694,Grjótnes,66.4745,-16.5564
695,Víkingavatn,66.0992,-16.8777
696,"Breiðavík, Tjörnesi",66.1792,-17.1693
697,,66.0283,-17.3516
698,,65.8578,-17.4009
699,Hof í Aðaldal,65.8549,-17.3762
700,"Mývatn, nyrst (útsýnisplan)",65.6602,-16.9754
701,Sunnan Grænavatns,65.7038,-17.6234
702,Stóru Tjarnir,65.7156,-17.7273
703,Grenivíkurvegamót,65.7477,-17.8922
704,Grenivíkurvegur,65.9145,-18.0744
705,"Akureyri, botnvegur",65.6696,-18.0502
706,Djúpárbakkavegamót,65.7577,-18.2304
707,Vatnsleysa,65.7236,-19.3748
708,Blönduós,65.6671,-20.2892
709,Elliðaár,64.0957,-21.7938
710,Heiðmörk,64.0785,-21.7865
711,Elliðavatn,64.0893,-21.7628
712,Fossvellir,64.0752,-21.6449
713,ÍR-Skálaplan,64.0431,-21.3738
714,ÍR-Skáli,64.0431,-21.3704
715,Sandahlíð,64.0744,-21.8355
716,Kapelluhraun,64.0382,-21.9933
717,Afstapahraun,63.9858,-22.1611
718,Tyrkjavörður,63.9614,-22.4501
719,Njarðvíkurhlið,63.9788,-22.5639
720,Ritunýpa,64.0389,-22.5870
721,Garðskagi,64.0814,-22.6923
722,Nesjar,63.9944,-22.7275
723,Flugvallarvegur,63.9801,-22.5602
724,Norðurhólar,64.1079,-21.8057
725,Hvammsvegur,64.0965,-21.8592
726,Arnarsetur,63.9056,-22.4211
727,Grindavík,63.8334,-22.4786
728,Berghraun,63.8202,-22.5508
729,Reykjanes,63.8256,-22.6722
730,Ögmundarhraun,63.8498,-22.2171
731,Krísuvík,63.8747,-22.0522
732,Sýslumörk,63.8598,-21.9167
733,Strandarkirkjuvegur,63.8380,-21.6689
734,Þorlákshöfn,63.8690,-21.3826
735,Þrengsli,63.9988,-21.4609
736,Arnarkrókur,64.0288,-21.6108
737,Stóra Kóngsfell,64.0130,-21.6672
738,Kristjánsdalir,63.9984,-21.7642
739,Skúlatúnsbrekka,63.9883,-21.8620
740,Óbrynnishólar,64.0053,-21.9111
741,Vellir,64.2038,-21.6705
742,Skálafellsvegamót,64.2085,-21.4412
743,Grafningsvegamót (útsýnisplan),64.2110,-21.2607
744,Gjábakkavegur (útsýnisplan),64.2480,-21.0243
745,Borgarhóll,64.1563,-21.0339
746,Steingrímsstöð,64.1293,-21.0123
747,Sauðatangi,64.1293,-21.1709
748,Minni Vellir,63.9837,-20.2147
749,Merkurhraun,64.0265,-19.8974
750,Árskógar,64.1314,-19.6420
751,Tungnaá,64.1813,-19.4310
752,Hraunvötn,64.2010,-18.6909
753,Kjalvötn,64.4248,-18.8117
754,Hágönguhraun,64.5122,-18.5114
755,Kvíslarvatn,64.5622,-18.4115
756,Nýidalur,64.7355,-18.0728
757,Laugafell,65.0275,-18.3321
758,Sjónarhóll,65.1443,-18.6383
759,Reyðarvatn,65.1053,-18.5269
760,Austurbugur,65.0614,-18.5027
761,Geldingsárdrög,65.0369,-18.1251
762,"Kiðagil, efst",65.0317,-17.8831
763,Krókdalur,65.1613,-17.4879
764,"Akureyri, bílaplan",65.6823,-18.0884
765,Moldhaugar,65.7434,-18.2010
766,Örbylgjustöð,65.4678,-18.6982
767,Flatartunguvegamót,65.4259,-19.1681
768,Friðmundarvötn,65.3254,-19.8039
769,Blöndulón,65.1465,-19.7175
770,Sandkúlufell,64.9922,-19.5782
771,Mosfell,64.6491,-19.5903
772,Árbúðir,64.6097,-19.6940
773,Bláfell,64.5299,-19.8575
774,Suðvestan Kerlingarfjallavegamót,64.7094,-19.4768
775,Mosfell,64.6297,-19.6349
776,Sandá,64.4066,-20.0486
777,Ármannsfell,64.2935,-21.0934
778,,64.5220,-20.8803
779,,64.6110,-20.7367
780,Austan Húsafells,64.7068,-20.7951
781,Kalmannstunga,64.7356,-20.8027
782,Hallmundarhraun,64.8355,-20.5910
783,Arnheiðarstaðir,64.6942,-21.2399
784,Úlfsstaðir,64.6655,-21.2438
785,Flókadalsvegamót,64.6112,-21.5180
786,Flugvallarvegamót,65.0754,-21.7765
787,Ofan Hjarðarfells,64.8802,-22.7563
788,Sæluhús,64.9325,-22.8339
789,Vegamót,64.9680,-22.8714
790,Búlandshöfði,64.9434,-23.4952
791,Fróðá,64.9052,-23.7852
792,Við flugvöll,64.9121,-23.8013
793,,64.9167,-23.8601
794,Bekkjahraun,64.8899,-23.9617
795,Snæfellsjökulsvegur,64.8677,-23.8954
796,Við Snæfellsjökul,64.8401,-23.8028
797,Klukkufoss,64.8705,-23.8629
798,Gufuskálamóða,64.8750,-23.9416
799,Öndverðarnes,64.8843,-24.0446
800,Purkhólar,64.7466,-23.8135
801,Hamraendar,64.8115,-23.5886
802,Kirkjuholt,64.8080,-23.0953
803,Hítarneskot,64.7128,-22.3442
804,Akrar,64.6457,-22.3643
805,Votmúli,63.9187,-21.0396
806,3.8 km frá SE,63.8982,-21.0709
807,Selfoss-suður,63.9236,-20.9923
808,Hrafnstóftir,63.8032,-20.4349
809,Safamýri,63.7714,-20.5173
810,Hólsá,63.7617,-20.5532
811,Keldur (vegamót),63.8250,-20.0879
812,Skógshraun (suður),63.8334,-19.9186
813,Skógshraun (norður),63.8554,-19.7826
814,Hungurfit (vegamót),63.8528,-19.5682
815,Botnafjöll (suður),63.9019,-19.4513
816,Hrafntinnuhraun,63.9423,-19.3853
817,Rauðufossafjöll,63.9822,-19.4550
818,Krakatindur,64.0170,-19.4508
819,"Landmannaleið, við Sauðleysuvatn",64.0387,-19.3408
820,Jökuldalir (árfarvegur),63.9815,-18.9091
821,Jökuldalir (á hæð),63.9803,-18.8860
822,Kálfasléttur,63.8557,-18.5760
823,Hraunból,63.8323,-17.8002
824,Stóra Borg,63.5105,-19.6274
825,Stóruborgarvegur,63.5233,-19.6062
826,Raufarfellsvegamót,63.5287,-19.6042
827,Raufarfell,63.5396,-19.5983
828,Ásólfsstaðavegamót,63.5572,-19.7979
829,Kross,63.6014,-20.2718
830,Múlakot,63.7166,-19.8900
831,Fljótsdalur,63.7110,-19.7332
832,Geldingalækur,63.8873,-20.2549
833,Húsagarður,63.9379,-20.1408
834,Skálholtsvegamót,64.0399,-20.4358
835,Bryðjuholt,64.1561,-20.3140
836,Foss,64.2453,-20.2118
837,Einholtsvegamót,64.2753,-20.2274
838,Miklaholtsvegamót,64.1723,-20.5057
839,Apavatn,64.1467,-20.7135
840,Vaðnes,64.0326,-20.9022
841,Hnausar,65.5082,-20.3433
842,Vegamót 767/768/769,65.7521,-19.1884
843,Hofsós,65.8958,-19.4100
844,Lónkot,66.0043,-19.3965
845,Heiði,66.0692,-19.2987
846,Barð,66.0573,-19.1153
847,Hraun,66.0988,-19.0814
848,Almenningsnöf,66.1570,-19.0492
849,Sauðanes,66.1853,-18.9531
850,Siglufjörður,66.1523,-18.9090
851,Knappsstaðir,65.9755,-18.9775
852,Móafell,65.9283,-18.9010
853,Lágheiði,65.9345,-18.8459
854,Kvíabrekkur,66.0150,-18.7691
855,Ólafsfjörður,66.0703,-18.6507
856,Dalvík,65.9668,-18.5306
857,Syðri Reistará,65.8190,-18.2371
858,Öngulsstaðir,65.5997,-18.0363
859,Brekka,65.6279,-18.0264
860,Guðrúnarstaðir,65.4834,-18.1493
861,Steinhólar,65.4067,-18.2265
862,Ytri Villingadalur,65.3276,-18.2807
863,Nálægt háheiði,65.1586,-18.1831
864,Reykir Fnjóskárdal,65.5854,-17.7722
865,Brúnagerði,65.6536,-17.8554
866,Ystafell,65.7832,-17.5806
867,Hjaltastaðir,65.7476,-17.5901
868,Lyngholt,65.6504,-17.5323
869,Arnarstaðir,65.5777,-17.4893
870,Sigurðarstaðir,65.5185,-17.4607
871,Bjarnastaðir,65.4334,-17.3553
872,Svartárkot,65.3487,-17.2591
873,Einarsstaðir,65.7375,-17.4093
874,Hofstaðir,65.5932,-17.1227
875,Dettifossvegamót,65.6604,-16.5488
876,Öskjuvegamót,65.6260,-16.2507
877,Víðidalur,65.5008,-15.9744
878,Kverkfjallavegamót,65.3524,-15.8406
879,Grjót,65.2306,-15.8986
880,Álftadalsfjöll,65.1102,-15.9917
881,Maríutungur,64.7039,-15.7044
882,Sauðhnjúkar,64.7730,-15.6595
883,Norðurdalsvegamót,65.0295,-14.9551
884,Hóll,65.5917,-14.2548
885,Unaás,65.5789,-14.0576
886,Bræðrabúð,65.5615,-13.9924
887,Borgarfjörður,65.5265,-13.8184
888,Höfn-Ósland,64.2442,-15.2064
889,Kolgríma,64.2476,-15.6707
890,Stemmulón,64.0687,-16.1294
891,Hof,63.9052,-16.7153
892,Svínafell,63.9700,-16.8621
893,Sólheimafjara,63.4524,-19.3467
894,Skógafjara,63.4905,-19.5478
895,Eskifjarðarbotn,65.0740,-14.0406
896,Neskaupstaður (austast),65.1476,-13.6665
897,Skálateigur III,65.1210,-13.8181
898,Norðfjörður,65.1270,-13.7743
899,Skíðaskáli,65.0665,-13.9010
900,Mjóafjarðarbotn,65.1880,-14.0171
901,Ofan Jöklasels,64.2682,-15.9710
902,Grímsfjall,64.4073,-17.2655
903,Grímsfjall (milli skála),64.4071,-17.2657
904,Skógafjara,63.4905,-19.5478
905,Dalatangi,65.2646,-13.5811
906,Dalatangi (tún),65.2477,-13.6034
907,"Brekka, Mjóafirði",65.2029,-13.7973
908,Öxi,64.8477,-14.6737
909,Lakavegamót,63.7629,-18.1197
910,Lambavatn,64.0592,-18.2855
911,Stórikrókur,63.9728,-18.3925
912,Kringlur (Galti),63.9737,-18.2753
913,Skjaldbreiðarhraun,64.4391,-20.8746
914,Skjaldbreiður (vegamót),64.4429,-20.7678
915,Rjúpnafell,64.4485,-20.6494
916,Hlöðufellsvegamót,64.4563,-20.5204
917,Skáli við Hlöðufell,64.3990,-20.5563
918,Rauðafell,64.3281,-20.5995
919,Efstastaðafjall,64.2781,-20.6578
920,Sandalda,64.3285,-20.0146
921,Hrunaheiðar,64.2982,-19.9254
922,Stóra Laxá,64.2561,-19.8367
923,Fossá,64.2180,-19.6834
924,Hjallar,64.2511,-19.4741
925,Landmælingavarða,64.3106,-19.3331
926,Dalsá,64.3908,-19.2453
927,Nálægt Kisu,64.4411,-19.0951
928,Fjórðungssandur,64.5056,-18.9702
929,Múlar (nálægt veðurathugunarstöð),64.6030,-19.0080
930,Illahraun,64.6073,-19.1121
931,Loðmundur,64.6542,-19.1392
932,Blágnípa,64.6865,-19.2443
933,Gýgjarfoss,64.6998,-19.3630
934,Kjalvegur,64.6563,-19.5695
935,Ofan Blönduvirkjunar,65.4070,-19.8204
936,Auðkúluvegamót,65.5097,-19.9432
937,Laxárvatn,65.5761,-20.1235
938,Hólabak,65.4949,-20.4087
939,Árnes,65.4488,-20.5696
940,Víðidalur,65.3688,-20.6477
941,Staðarbakki,65.2900,-20.8774
942,Grundarás,65.2334,-20.8292
943,Skárastaðir,65.1706,-20.7067
944,Austurá,65.0864,-20.5847
945,Arnarvatnsheiði,64.9883,-20.4882
946,Arnarvatn,64.9627,-20.3681
947,Hólmavatn,65.0397,-20.5464
948,Hvammur,65.4273,-20.2817
949,Grímstunga,65.3299,-20.1858
950,Sílavatnsás,65.2693,-20.1010
951,Hrafnvörðubotnar,65.1192,-19.9821
952,Gedduvatn,65.1879,-20.0055
953,Ofan Grímstungu,65.3050,-20.1803
954,Vesturhóp,65.5009,-20.6756
955,Ósar,65.6010,-20.6470
956,Nestá,65.6775,-20.6754
957,Stapar,65.6020,-20.8919
958,Viti,65.4907,-20.9839
959,Hvammstangi,65.3914,-20.9394
960,Sunnan við Nýjadal,64.6855,-18.1986
961,Norðan Tungnafellsjökuls,64.8123,-17.9242
962,Vonarskarðsvegamót,64.8255,-17.6805
963,Vestan Trölladyngju,64.8884,-17.5190
964,Bárðardalsvegamót,65.0001,-17.4329
965,Þríhyrningur,65.0095,-17.3231
966,Frambruni,65.0129,-17.1886
967,Dyngjufjöll ytri,65.0238,-17.0999
968,Dyngjufjallsdalur,64.9998,-17.0191
969,Kattbekingur,64.9690,-16.9628
970,Hrímalda,64.9383,-16.8630
971,Holuhraun,64.9142,-16.7484
972,Vaðalda,64.9666,-16.5753
973,Herðubreiðartögl,65.1095,-16.2813
974,Herðubreiðarlindir,65.2025,-16.1994
975,Lindaá,65.2288,-16.1862
976,Grafarlönd,65.2448,-16.1666
977,Ferjufjall,65.3159,-16.0831
978,Miðfell,65.3823,-16.1073
979,Lambafjöll,65.4459,-16.1933
980,Veggir,65.5268,-16.1641
981,Grjót,65.5846,-16.2189
982,Hólasandur,65.7234,-17.0735
983,Brúnahlíð,65.8388,-17.2935
984,Heiðarbót,65.9288,-17.3057
985,Tjörnes (vestanvert),66.1100,-17.2584
986,Tjörnestá,66.1992,-17.1403
987,Tjörnes (austanvert),66.1735,-16.9911
988,Þeistareykjavegamót,65.9611,-17.0222
989,Þeistareykjabunga,65.9136,-16.9689
990,Bæjarfjall,65.8610,-16.9866
991,Kvíhólafjöll,65.8178,-16.9778
992,Randir,65.7776,-17.0338
993,Búrfellshraun,65.6451,-16.7067
994,Búrfellshraun (austast),65.6487,-16.4004
995,Víðihóll,65.7141,-16.0421
996,Hólselsmelar,65.7440,-16.3346
997,Kjalarás,65.9889,-16.4100
998,Krossdalur,66.0753,-16.7249
999,Meiðavellir,66.0379,-16.5491
1000,Við Grænáshlíð,63.9784,-22.5644
1001,Keflavíkurvegur,64.0269,-22.1091
1002,Grindavíkurvegi,63.9610,-22.4205
1003,,63.9610,-22.4205
1004,Þorgeirsstaðir,64.3334,-14.9172
1005,193gr 4.8km fra HFN,64.2944,-15.1889
1006,Grænavatn,65.5342,-17.0054
1007,Fanntófell,64.5220,-20.8803
1008,Geitá,64.6110,-20.7367
1009,Gangnamannakofi,63.9505,-19.3641
1010,Skipalækur,65.2809,-14.4376
1011,"Seljavellir, Hornafirði",64.3090,-15.2104
1012,Golfvallarvegamót,64.0421,-22.6006
1013,Ofan við Fífubrekku,64.1362,-21.7532
1014,Hafravatnsvegur,64.1356,-21.7343
1015,Úlfarsfell,64.1369,-21.6988
1016,Hafravatn (nyrst),64.1384,-21.6635
1017,Hafravatn (fyrir miðju),64.1324,-21.6589
1018,Hafravatn (syðst),64.1270,-21.6468
1019,Malarnámsvegamót,64.1196,-21.6456
1020,Dalur,64.1055,-21.6419
1021,Selvatn,64.0992,-21.6267
1022,Rauður sumarbústaður,64.0910,-21.6495
1023,Lækjarbotnar,64.0785,-21.6542
1024,Heiðmerkurhlið,64.0816,-21.7009
1025,Heiðmerkurvegur,64.0753,-21.7202
1026,Heiðmerkurvegur,64.0694,-21.7349
1027,Heiðmerkurvegur,64.0627,-21.7428
1028,Heiðmerkurvegur,64.0591,-21.7592
1029,Borhola,64.0589,-21.7780
1030,Landmælingapunktur,64.0572,-21.7812
1031,Þjóðhátíðarlundur,64.0556,-21.7919
1032,Brautarholt,64.2345,-21.8193
1033,Heiðmerkurvegur,64.0558,-21.8076
1034,Heiðmerkurvegur,64.0563,-21.8211
1035,Heiðmerkurvegur,64.0515,-21.8373
1036,Vífilsstaðahlíð,64.0489,-21.8564
1037,Grunnuvatnavegamót,64.0562,-21.8678
1038,Vífilsstaðahlíð,64.0612,-21.8771
1039,Vífilsstaðahlíð,64.0683,-21.8857
1040,Vífilsstaðahlíð,64.0730,-21.8922
1041,Vífilsstaðahlíð,64.0734,-21.8904
1042,Vegamót 408/410,64.0819,-21.8789
1043,Kaldársel,64.0227,-21.8778
1044,Kaldárselsvegur,64.0325,-21.8976
1045,Kaldárselsvegur,64.0422,-21.9149
1046,Kaldárselsvegur,64.0527,-21.9257
1047,Kirkjugarður,64.0607,-21.9411
1048,Keflavíkurvegur,64.0722,-21.9386
1049,Keflavíkurvegur,64.0822,-21.9422
1050,Hafnarfjarðarvegur,64.0911,-21.9271
1051,Hafnarfjarðarvegur,64.0987,-21.9173
1052,Hafnarfjarðarvegur,64.1042,-21.9027
1053,Hafnarfjarðarvegur,64.1124,-21.9075
1054,Hafnarfjarðarvegur,64.1205,-21.9020
1055,Hafnarfjarðarvegur,64.1316,-21.8991
1056,Fíatplan,64.1292,-21.8710
1057,Réttarholtsskóli,64.1229,-21.8638
1058,Réttarholtsvegur,64.1327,-21.8558
1059,Smábátahöfn,64.1326,-21.8381
1060,Bíldshöfði 2,64.1245,-21.8351
1061,"Björgun, plan",64.1329,-21.8207
1062,Stórhöfði,64.1291,-21.8212
1063,Vesturlandsvegur,64.1238,-21.8081
1064,Vesturlandsvegur,64.1243,-21.7943
1065,Borgarvegur,64.1450,-21.7767
1066,Golfvallarhlið,64.1259,-21.7757
1067,Víkurvegur,64.1333,-21.7664
1068,"Tangarhöfði, plan",64.1260,-21.8184
1069,Suðurlandsvegur,64.1028,-21.7669
1070,Suðurlandsvegur,64.0994,-21.7525
1071,Bláfjallavegamót,64.0650,-21.5792
1072,Bláfjallavegur,64.0539,-21.6042
1073,Bláfjallavegur,64.0333,-21.6133
1074,Bláfjallavegur,64.0222,-21.6303
1075,"Vegamót 417 (Bláfjöll, HFJ, RVK)",64.0117,-21.6397
1076,Bláfjallavegur,63.9939,-21.6372
1077,Ármannsskálavegur,63.9803,-21.6522
1078,Bláfjallavegur,64.0125,-21.6683
1079,Bláfjallavegur,64.0089,-21.7106
1080,Bláfjallavegur,64.0076,-21.7456
1081,Bláfjallavegur,63.9907,-21.7786
1082,Bláfjallavegur,63.9793,-21.8189
1083,Bláfjallavegur,63.9884,-21.8617
1084,Vinnuvegur,64.0048,-21.8736
1085,Bláfjallavegur,64.0056,-21.9017
1086,Bláfjallavegur,64.0093,-21.9331
1087,Krýsuvíkurvegur,64.0202,-21.9550
1088,Krýsuvíkurvegur,64.0347,-21.9733
1089,Krýsuvíkurvegur,64.0507,-21.9847
1090,Krýsuvíkurvegur,63.9978,-21.9456
1091,Krýsuvíkurvegur,63.9761,-21.9517
1092,Stefánshöfði,63.9369,-21.9856
1093,Hverir,63.8942,-22.0522
1094,Krýsuvík,63.8697,-22.0489
1095,Krýsuvíkurvegur,63.8581,-22.0175
1096,Krýsuvíkurvegur,63.8603,-21.9128
1097,Herdísarvík,63.8683,-21.8219
1098,Við fjallshlíð,63.8767,-21.7303
1099,Fjær fjallshlíð,63.8786,-21.7039
1100,Fjær fjallshlíð,63.8778,-21.7014
1101,Fjær fjallshlíð,63.8772,-21.6992
1102,Fjær fjallshlíð,63.8725,-21.6942
1103,Fjær fjallshlíð,63.8617,-21.6872
1104,Fjær fjallshlíð,63.8550,-21.6828
1105,Nes,63.8303,-21.6756
1106,Krýsuvíkurvegur,63.8514,-21.6219
1107,Krýsuvíkurvegur,63.8739,-21.5497
1108,Krýsuvíkurvegur,63.8986,-21.4489
1109,Gamli Þorlákshafnarvegurinn,63.8856,-21.4047
1110,"Vegamót, Þorlákshafnarvegur",63.8686,-21.3825
1111,Þorlákshafnarvegur,63.9033,-21.3642
1112,,64.1079,-21.8049
1113,Þorlákshafnarvegur,63.9281,-21.3544
1114,Þorlákshafnarvegur,63.9481,-21.2811
1115,Þurá,63.9631,-21.2575
1116,Þorlákshafnarvegur,63.9781,-21.2275
1117,Þorlákshafnarvegur,63.9894,-21.2006
1118,Kambar (miðja),64.0067,-21.2169
1119,Kambabrún,64.0125,-21.2336
1120,Hellisheiði,64.0194,-21.3364
1121,Hveradalir,64.0189,-21.3975
1122,Bruni,64.0297,-21.4539
1123,Austan við Kaffistofu,64.0533,-21.4883
1124,Suðurlandsvegur,64.0594,-21.5150
1125,Norðan við Keflavík,64.0013,-22.5767
1126,Álftanes,64.1050,-22.0283
1127,Reykjavíkurflugvöllur,64.1287,-21.9325
1128,Laugarnes,64.1450,-21.8483
1129,Korpúlfsstaðir,64.1517,-21.8200
1130,"Vegamót, Vesturlands- og Þingvallavegur",64.1753,-21.6762
1131,Skeggjastaðir,64.2015,-21.5593
1132,Skálafell,64.2282,-21.4247
1133,Fellsendi,64.2415,-21.3508
1134,Vestan við Ármannsfell,64.2928,-21.0833
1135,Suðaustan við Ármannsfell,64.2998,-21.0240
1136,"Seljavellir, Hornafirði",64.3081,-15.2183
1137,Kiðagil,65.1185,-17.5656
1138,Bolöldur,64.0593,-21.5160
1139,Ólafsvík,64.8948,-23.7061
1140,Þórdísarstaðir,64.9942,-23.2146
1141,Ögur við Stykkishólm,65.0422,-22.8034
1142,Laxárdalsheiðarvegamót,65.2257,-21.1297
1143,Stóra Hvalsá,65.3728,-21.1951
1144,Hvalsá,65.6209,-21.3975
1145,Ögurnes,66.0537,-22.7549
1146,Álftafjörður,65.9675,-23.0842
1147,Ísafjörður,66.0756,-23.1223
1148,Gemlufallsheiði,65.9311,-23.4420
1149,Miðhlíð,65.4707,-23.5887
1150,Efribyggð (vegamót),65.1246,-22.1064
1151,Ytrafellsmúli,65.1437,-22.3150
1152,Víghólastaðir,65.1726,-22.4084
1153,Klofningur,65.2007,-22.5046
1154,Skarð,65.2807,-22.3218
1155,Fagridalur,65.3472,-22.0887
1156,Kambsnes,65.0701,-21.8307
1157,Vestan við vegamót KEF/GRV,63.9617,-22.4283
1158,Vatnsleysa,64.0133,-22.1817
1159,"Vegamót, Keflavík/Krýsuvík",64.0517,-21.9883
1160,Vestan við Vatnsenda,64.0862,-21.8155
1161,Rauðhólar,64.0960,-21.7397
1162,Valþjófsstaðir,66.2359,-16.4295
1163,Öxafjarðarheiði,66.1542,-16.1189
1164,Múlar,66.1797,-16.0134
1165,Öxafjarðarheiði (austur),66.1988,-15.8801
1166,Helgafell,66.1806,-15.9703
1167,Öxafjarðarheiði (vestur),66.1414,-16.3143
1168,Hofsárdalur,65.5851,-15.3396
1169,Langidalur,65.5159,-15.4836
1170,Þjóðfellsbungur,65.4601,-15.7685
1171,Kollseyrudalur,65.3180,-15.6282
1172,Jökuldalsheiði (austast),65.2957,-15.2745
1173,Fljótsdalur,65.1738,-14.6683
1174,Ofan Skriðuklausturs,65.0585,-14.9639
1175,Skriðuklaustur,65.0256,-14.9593
1176,Hallgeirsstaðir,65.5296,-14.5320
1177,Hrólfsstaðir,65.3924,-14.6837
1178,Hvanná II,65.3649,-14.8303
1179,Hjarðarhagi,65.3502,-14.9844
1180,Ysti Rjúkandi,65.3301,-15.0780
1181,Þorbjörn,63.8517,-22.4317
1182,Rauðafell,65.5539,-16.0008
1183,Bæjargröf,65.5920,-16.1151
1184,Grímstunga,65.6190,-16.1644
1185,Sellandafjall,65.4428,-17.0546
1186,Við hraunbrún,65.4990,-17.0228
1187,Út-Kinnar vegamót,65.8438,-17.5402
1188,Skjálfandi,65.9882,-17.6364
1189,Granastaðir,65.9202,-17.5729
1190,Aðaldalur,65.9026,-17.4555
1191,Draflastaðir,65.8443,-17.8872
1192,Grenivík,65.9466,-18.1813
1193,,65.7989,-18.0583
1194,"Vegamót, Þjóðvegur/Grenivíkurvegur",65.7981,-18.0606
1195,Kiðagil (mitt),65.0894,-17.6616
1196,Íshólsdalur,65.2787,-17.3729
1197,Merkigil,65.5486,-18.1141
1198,Foss,65.8162,-19.3311
1199,Þverá,65.6324,-19.3898
1200,Norðurárdalur,65.4642,-18.9224
1201,Reykir í Lundarreykjadal,64.4937,-21.1760
1202,Dragháls,64.4884,-21.5187
1203,Kvíslarvatn (suður),64.5244,-18.6610
1204,Dyrhólaey,63.4023,-19.1305
1205,,65.3891,-14.3409
1206,,65.3890,-14.3371
1207,Stokkseyri,63.8313,-21.0404
1208,,65.3888,-14.3341
1209,,65.3881,-14.3276
1210,,65.3869,-14.3215
1211,,65.3853,-14.3159
1212,,65.3833,-14.3111
1213,,65.3810,-14.3073
1214,,65.3784,-14.3044
1215,,65.3757,-14.3027
1216,,65.3729,-14.3021
