id,Staðarlýsing,Breidd,Lengd
135,Norðan Köldukvíslar,64.3660,-18.8448
136,Búðarhálsvegamót,64.4307,-18.8359
137,Versalir,64.4501,-18.7551
138,Jökulheimavegur,64.2559,-18.4489
139,Við Tungnaárjökul,64.3298,-18.1651
140,Ofan við Jökulheimaskála,64.3151,-18.2249
141,Jökulheimaskáli,64.3100,-18.2389
142,Við Hraunvötn,64.2138,-18.6639
143,Veiðivatnavegamót,64.1735,-18.8109
144,Vatnsfell,64.1977,-19.0004
145,Vestan Sauðafells,64.3350,-18.9335
146,Stóra Kjalalda,64.3978,-18.8118
147,Versalir,64.4511,-18.7517
148,Þveralda,64.4804,-18.6120
149,Svörtubotnar,64.5409,-18.4242
150,Kistualda,64.6064,-18.3788
151,Sprengisandur,64.6699,-18.2571
152,Sunnan Nýjadals,64.7227,-18.1136
153,Norðan Nýjadals,64.7440,-18.0636
154,Tómasarhagi,64.7763,-18.0157
155,Sunnan Fjórðungsöldu,64.8498,-18.0487
156,Vestan Fjórðungsöldu,64.8828,-18.1227
157,Norðan Bergvatnskvíslar,64.9076,-18.2797
158,Við Jökulkvísl,64.9747,-18.3162
159,Við Hnjúkskvísl,65.0438,-18.3872
160,Norðan Jökulsár,65.0722,-18.5141
161,Reyðarfell,65.1258,-18.5945
162,Stafnsvötn,65.1780,-18.7359
163,Giljamúli,65.1977,-18.8606
164,Þorljótsstaðir,65.2088,-18.9288
165,Hof,65.2884,-19.0373
166,Tunguháls,65.3807,-19.2178
167,Mælifell,65.4419,-19.3203
168,Reykjavellir,65.4955,-19.3889
169,Vegamót við Varmahlíð 1/752,65.5471,-19.4413
170,Vegamót Hofsós/Varmahlíð 1/76,65.5514,-19.3465
171,Sunnuhvoll,65.4747,-19.2723
172,Silfrastaðir,65.4391,-19.1932
173,Norðurárdalur,65.4446,-19.0148
174,Öxnadalsheiði,65.4641,-18.8688
175,Öxnadalsheiði (austast),65.4687,-18.7064
176,Hörgárdalur,65.5039,-18.6169
177,Hraun,65.5845,-18.5351
178,Hörgárdalsvegamót,65.6841,-18.4086
179,Háls,65.9506,-18.4698
180,Syðri-Hagi,65.9017,-18.2890
181,133gr 4.35km frá HJ,65.8756,-18.2643
182,,65.8434,-18.2024
183,Syðri-Bakki,65.8294,-18.2055
184,Skipalón,65.7795,-18.1804
185,Glæsibær,65.7541,-18.1741
186,221gr 0.86km frá SKV,65.7420,-18.1702
187,001gr 0.50km frá SKV,65.7330,-18.1792
188,013gr 0.75km frá SKV,65.7310,-18.1827
189,119gr 1.00km frá SKV,65.7419,-18.1981
190,091gr 0.56km frá SKV,65.7376,-18.1914
191,"Akureyri, nyrst",65.7002,-18.1435
192,154gr 0.50km frá HV,65.6394,-18.0724
193,162gr 1.00km frá HV,65.6439,-18.0739
194,180gr 3.82km frá HV,65.6697,-18.0671
195,Svalbarðseyri,65.7434,-18.0892
196,357gr 1.22km frá AR,65.7451,-18.0881
197,334gr 1.00km frá AR,65.7480,-18.0800
198,Kristnes,65.5930,-18.0784
199,Norðan við Grund,65.5264,-18.1492
200,101gr 0.50km frá TO,65.5013,-18.1618
201,097gr 1.00km frá TO,65.5014,-18.1728
202,035gr 2.00km frá TO,65.4856,-18.1758
203,Nes,65.4149,-18.2406
204,245gr 0.61km frá NB,65.3283,-18.2819
205,256gr 0.65km frá NB,65.3275,-18.2801
206,,65.3236,-18.3031
207,057gr 0.50km frá NB,65.3235,-18.3028
208,057gr 1.00km frá NB,65.3211,-18.3120
209,Hólsgerði,65.3042,-18.2581
210,Hálendi,65.2283,-18.2346
211,Hálendisbrún Eyjafirði,65.1525,-18.1834
212,Geldingsárdrög,65.0970,-18.1350
213,Vegur F881,65.0373,-18.0893
214,Vegur F881,65.0199,-17.9585
215,Kiðagilsdrög,65.0677,-17.8232
216,Fremrimosar,65.1199,-17.5602
217,Ytrimosar,65.2255,-17.4027
218,Hrafnabjörg,65.3292,-17.3529
219,Mjóadalsá (mýri),65.3789,-17.3680
220,Skjálfandafljótsbrú,65.4938,-17.4518
221,Bárðardalur,65.5949,-17.5017
222,Fljótsdalsheiði,65.7132,-17.4904
223,Reynisdalur,65.7693,-17.4134
224,Hraunbær,65.8551,-17.4135
225,253gr 0.50km frá GA,65.8793,-17.4523
226,213gr 1.00km frá GA,65.8856,-17.4510
227,139gr 1.00km frá GA,65.8844,-17.4778
228,197gr 2.00km frá GA,65.8950,-17.4497
229,260gr 0.50km frá HS,65.9279,-17.4278
230,277gr 1.00km frá HS,65.9261,-17.4167
231,Skarðaás,65.9242,-17.4127
232,160gr 1.00km frá HS,65.9356,-17.4460
233,184gr 2.00km frá HS,65.9451,-17.4353
234,Langavatn,65.8381,-17.2931
235,Hólasandur nyrst,65.7628,-17.1598
236,Hólasandur syðst,65.6841,-17.0181
237,353gr 0.50km frá RL,65.6202,-16.9187
238,348gr 1.00km frá RL,65.6159,-16.9157
239,001gr 2.00km frá RL,65.6067,-16.9207
240,012gr 4.00km frá RL,65.5894,-16.9374
241,189gr 0.50km frá RL,65.6291,-16.9185
242,Flugvöllur,65.6532,-16.9197
243,Austaraselsheiði,65.6537,-16.6131
244,Borgarmelur,65.6377,-16.2997
245,Dyngjufjöll 1097m hæð,65.0672,-16.7249
246,Vikursandur,65.0507,-16.4762
247,Vestan Upptyppinga,65.0357,-16.3263
248,Grjót,64.9429,-16.3470
249,Við Háafell,64.8570,-16.4464
250,Sunnan Kverkhnjúkaskarðs,64.8279,-16.4928
251,Austan Dyngjujökuls,64.7776,-16.5922
252,Við Kverkjökul,64.7339,-16.6662
253,"Kverkfjöll, flugbraut",64.7521,-16.6372
254,"Hvannalindir, syðst",64.8358,-16.4065
255,"Hvannalindir, austast",64.8679,-16.2872
256,"Krepputunga, nyrst",65.0910,-16.1896
257,SV Þríhyrningsá ,65.1102,-15.9917
258,Dyngjuháls,65.2036,-15.8999
259,Hvanná,65.2948,-15.8970
260,Möðrudalur,65.3728,-15.8802
261,Framland,65.4830,-15.9615
262,Grímsstaðanúpur,65.5602,-16.0252
263,Vegamót 1/864/F88,65.6459,-16.1247
264,Sveinahraun,65.6579,-16.4800
265,Austan Námaskarðs,65.6490,-16.7601
266,Útsýnisplan Námaskarði,65.6422,-16.8330
267,260gr 3.42km frá RL,65.6302,-16.8467
268,230gr 2.49km frá RL,65.6390,-16.8784
269,215gr 1.95km frá RL,65.6390,-16.8957
270,200gr 1.81km frá RL,65.6400,-16.9069
271,180gr 2.33km frá RL,65.6456,-16.9202
